Disease,Description
plantar fasciitis,"Plantar fasciitis is a common cause of heel pain. The plantar fascia is a band of tissue that runs along the bottom of the foot, from the heel to the toes. This band supports the arch of the foot and helps to absorb shock when walking or running. When the plantar"
intertrigo (skin condition),"Intertrigo is a skin condition that affects the folds of skin, such as the armpits, groin, or under the breast. It is characterized by redness, itching, and inflammation of the skin. The condition is caused by a combination of factors, including sweat, moisture, and"
sickle cell anemia,"Sickle cell anemia is a genetic blood disorder that causes red blood cells to become misshapen (sickle-shaped) and break down more quickly than normal, resulting in anemia. Symptoms may include fatigue, shortness of breath, and dizziness. In severe"
smoking or tobacco addiction,"Smoking or tobacco addiction is a harmful addiction that can lead to a range of serious health problems, including heart disease, stroke, and lung cancer. Cigarette smoking is the leading cause of preventable death in the United States, accounting for more than 480,000 deaths each year."
bladder obstruction,"Bladder obstruction is a condition in which the bladder outlet is blocked, preventing urine from leaving the bladder. This can lead to urinary retention, which is the inability to empty the bladder completely. Symptoms of bladder obstruction may include difficulty ur"
muscular dystrophy,"Muscular dystrophy is a group of inherited diseases characterized by progressive muscle weakness and loss of muscle mass. It affects people of all ages, but is most common in children and young adults. There are several types of muscular dystrophy, each with its own specific symptoms and progression. The most"
insect bite,"Insect bites are a common occurrence and most of the time they are harmless. However, some insects such as bees, wasps, and fire ants are known to cause allergic reactions in some people, and in rare cases, they can even result in anaphylaxis, a severe"
contact dermatitis,"Contact dermatitis is a type of skin inflammation caused by direct contact with an irritant or an allergen. The symptoms of contact dermatitis can vary depending on the type of irritant or allergen and the individual's sensitivity. Common symptoms include redness, itching, swelling"
bone cancer,"Bone cancer is a type of cancer that develops in the bones. It can occur in any bone in the body but is most commonly found in the long bones of the arms and legs. Bone cancer is rare, and it can be difficult to detect and diagnose. It is often diagnosed in people between the"
obesity,"Obesity is a condition where excess body fat accumulates and can lead to serious health problems. Symptoms of obesity can include difficulty breathing, fatigue, and increased risk of chronic diseases such as diabetes, heart disease, and certain types of cancer. Causes of obesity can include genetic factors"
pelvic inflammatory disease,"Pelvic inflammatory disease (PID) is an infection of the female reproductive organs, including the fallopian tubes, ovaries, and uterus. It is often caused by bacteria that are spread from the vagina to the uterus and fallopian"
ovarian cancer,"Ovarian cancer is a type of cancer that develops in a woman&#39;s ovary. It is a rare cancer, but it is also one of the deadliest cancers affecting women. Early detection and treatment are crucial for increased survival rates. Symptoms of ovarian cancer can include"
paronychia,"Paronychia is an infection of the skin at the side of a fingernail or toenail. It is commonly caused by bacterial or fungal organisms and can result in inflammation, redness, pain, and drainage."
cervical cancer,"Cervical cancer is a type of cancer that starts in the cells of the cervix — the lower part of the uterus that connects to the vagina. The cervix forms a canal that connects the vagina and uterus. Normally, cells in the cervix grow"
nerve impingement near the shoulder,"Nerve impingement near the shoulder is a condition where the nerves in the shoulder become compressed or irritated. It can be caused by a variety of factors, including injury, repetitive motion, and degenerative conditions. Symptoms can include pain, numbness, tingling, and weakness in"
atonic bladder,"Atonic bladder is a condition that affects your bladder's ability to contract and expel urine. This is often caused by nerve damage or other underlying bladder conditions. Symptoms of atonic bladder include difficulty starting urination, a weak urine stream, and a"
